,AGS_0,Fläche_Name_1,y_forderungen
192,08212,Stadtkreis Karlsruhe,1.3060537126700502
193,08215,Landkreis Karlsruhe,10.019678855121331
194,08216,Landkreis Rastatt,8.962145655920107
195,08221,Stadtkreis Heidelberg,1.2162560838605934
196,08222,Stadtkreis Mannheim,1.4863568119968704
197,08225,Landkreis Neckar-Odenwald-Kreis,7.614283665612747
198,08226,Landkreis Rhein-Neckar-Kreis,9.121763610031001
199,08231,Stadtkreis Pforzheim,8.796360407329168
200,08235,Landkreis Calw,9.079889856164307
201,08236,Landkreis Enzkreis,11.347206482721088
202,08237,Landkreis Freudenstadt,11.450879831012255
203,08311,Stadtkreis Freiburg im Breisgau,13.868308420143087
204,08315,Landkreis Breisgau-Hochschwarzwald,7.972636864367261
205,08316,Landkreis Emmendingen,22.179601253086318
206,08317,Landkreis Ortenaukreis,12.489585423388862
207,08325,Landkreis Rottweil,5.483081132969561
208,08326,Landkreis Schwarzwald-Baar-Kreis,14.824217055156081
209,08327,Landkreis Tuttlingen,5.010024904689781
210,08335,Landkreis Konstanz,11.02275788322689
211,08336,Landkreis Lörrach,9.124406000509538
212,08337,Landkreis Waldshut,17.766428298552782
213,08415,Landkreis Reutlingen,11.169024397374335
214,08416,Landkreis Tübingen,10.0713159676214
215,08417,Landkreis Zollernalbkreis,15.744647235791636
216,08421,Stadtkreis Ulm,6.454927758171769
217,08425,Landkreis Alb-Donau-Kreis,11.553395456861976
218,08426,Landkreis Biberach,11.650781950420756
219,08435,Landkreis Bodenseekreis,10.786150654957861
220,08436,Landkreis Ravensburg,11.413648299047003
221,08437,Landkreis Sigmaringen,11.857420039868046
222,09161,Kreisfreie Stadt Ingolstadt,2.803132421531663
223,09162,Kreisfreie Stadt München,1.2816266180503124
224,09163,Kreisfreie Stadt Rosenheim,3.892685115175355
225,09171,Landkreis Altötting,3.701619095910423
226,09172,Landkreis Berchtesgadener Land,9.794677532543833
227,09173,Landkreis Bad Tölz-Wolfratshausen,11.334522127887118
228,09174,Landkreis Dachau,7.463343938065201
229,09175,Landkreis Ebersberg,8.553645348892509
230,09176,Landkreis Eichstätt,11.733913416976096
231,09177,Landkreis Erding,7.650641666165412
232,09178,Landkreis Freising,5.4120038773889
233,09179,Landkreis Fürstenfeldbruck,4.829380028853076
234,09180,Landkreis Garmisch-Partenkirchen,10.496569715359174
235,09181,Landkreis Landsberg am Lech,11.783727404016789
236,09182,Landkreis Miesbach,11.792858502494402
237,09183,Landkreis Mühldorf a. Inn,6.751337283313746
238,09184,Landkreis München,16.11803870850185
239,09185,Landkreis Neuburg-Schrobenhausen,9.097755509602433
