,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AGS,Name,Verwaltungsebene,Land,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G,2G,4G,5G DSS,5G
05314,Kreisfreie Stadt Bonn,3 - Kreis,Land Nordrhein-Westfalen,100,100,"38,12",100,100,100,100,100,100,100,"91,66","26,59"
05315,Kreisfreie Stadt Köln,3 - Kreis,Land Nordrhein-Westfalen,100,100,"23,94","99,64",100,100,"99,85",100,100,100,"97,69","41,81"
05316,Kreisfreie Stadt Leverkusen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"34,99","86,38",100,100,100,100,100,100,100,"46,75"
05334,Kreis Städteregion Aachen,3 - Kreis,Land Nordrhein-Westfalen,"99,8","99,8","62,53","95,19",100,100,"99,05",100,100,100,"99,19","50,33"
05358,Kreis Düren,3 - Kreis,Land Nordrhein-Westfalen,100,"99,98","89,64","90,75",100,100,"99,92",100,100,100,"99,65","10,42"
05362,Kreis Rhein-Erft-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"98,44","78,15","93,9",100,"99,63","97,56","99,39",100,100,"93,33","33,46"
05366,Kreis Euskirchen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"95,7","97,54",100,100,"89,63","99,8",100,"99,67","97,99","42,31"
05370,Kreis Heinsberg,3 - Kreis,Land Nordrhein-Westfalen,100,100,"93,44",100,100,100,100,100,100,100,"96,61","23,27"
05374,Kreis Oberbergischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,"99,93","13,41","85,07",100,100,"95,73","98,1",100,"98,46","87,19","30,8"
05378,Kreis Rheinisch-Bergischer Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"46,28","93,96",100,100,"99,52","99,83",100,100,"88,43","18,88"
05382,Kreis Rhein-Sieg-Kreis,3 - Kreis,Land Nordrhein-Westfalen,100,100,"67,94","92,5",100,100,"99,91","99,93",100,100,"98,33","40,67"
05512,Kreisfreie Stadt Bottrop,3 - Kreis,Land Nordrhein-Westfalen,100,100,"36,51","85,45",100,100,100,100,100,100,100,"63,72"
05513,Kreisfreie Stadt Gelsenkirchen,3 - Kreis,Land Nordrhein-Westfalen,100,100,"31,52",100,100,100,100,100,100,100,100,"75,91"
05515,Kreisfreie Stadt Münster,3 - Kreis,Land Nordrhein-Westfalen,100,100,"1,14","95,16",100,100,100,100,100,100,"98,38","58,62"
05554,Kreis Borken,3 - Kreis,Land Nordrhein-Westfalen,100,"99,67","73,05","92,58",100,100,"97,97","99,53",100,"99,86","80,89","34,99"
05558,Kreis Coesfeld,3 - Kreis,Land Nordrhein-Westfalen,100,100,"78,83","84,25",100,100,100,100,100,100,"97,36","11,21"
05562,Kreis Recklinghausen,3 - Kreis,Land Nordrhein-Westfalen,100,"99,98","53,58","90,88",100,100,"99,77",100,100,100,"98,97","51,31"
05566,Kreis Steinfurt,3 - Kreis,Land Nordrhein-Westfalen,100,100,"30,88","67,02",100,100,"99,63","99,95",100,100,"91,84","15,56"
05570,Kreis Warendorf,3 - Kreis,Land Nordrhein-Westfalen,100,100,"93,84","93,84",100,100,100,100,100,"95,12","88,75","66,11"
05711,Kreisfreie Stadt Bielefeld,3 - Kreis,Land Nordrhein-Westfalen,100,"98,07","23,55","91,96",100,100,"99,9",100,100,100,"99,99","35,21"
05754,Kreis Gütersloh,3 - Kreis,Land Nordrhein-Westfalen,100,"99,35","69,35","91,18",100,100,"97,86",100,100,100,"88,3","11,65"
05758,Kreis Herford,3 - Kreis,Land Nordrhein-Westfalen,100,100,"1,9","96,37",100,100,100,100,100,100,"98,77","4,69"
